,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-03-16,141.0,141.0,133.0,133.0,130.960663,2675401
1,2020-03-17,125.5,136.0,123.0,131.0,128.991333,1688331
2,2020-03-18,129.5,133.5,125.0,132.0,129.975998,2108399
3,2020-03-19,127.0,128.5,119.0,119.0,117.175331,2576941
4,2020-03-20,119.0,124.5,119.0,120.0,118.159996,2091587
5,2020-03-23,117.5,120.0,114.0,116.0,114.221329,1625222
6,2020-03-24,124.0,127.5,124.0,127.5,125.544998,1138856
7,2020-03-25,134.0,140.0,131.5,140.0,137.853333,1229741
8,2020-03-26,144.0,151.0,141.5,144.5,142.284332,3009991
9,2020-03-27,149.0,155.0,143.5,145.5,143.268997,2245900
10,2020-03-30,140.5,140.5,136.0,138.5,136.376328,935092
11,2020-03-31,141.0,144.0,133.5,134.0,131.945328,1117876
12,2020-04-01,135.0,135.0,130.5,131.5,129.483658,950887
