,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-02-07,183.5,187.5,183.5,186.0,183.147995,690173
1,2020-02-10,185.0,185.0,181.0,181.0,178.22467,630255
2,2020-02-11,181.0,183.0,181.0,181.0,178.22467,576197
3,2020-02-12,181.0,183.0,181.0,181.5,178.716995,458277
4,2020-02-13,182.5,185.5,182.5,184.5,181.67099,519505
5,2020-02-14,184.5,185.0,182.0,182.0,179.209335,717520
6,2020-02-17,184.0,184.0,180.5,181.5,178.716995,298950
7,2020-02-18,180.0,180.0,177.0,179.5,176.747665,808533
8,2020-02-19,179.5,182.0,179.5,180.0,177.23999,414400
9,2020-02-20,183.0,183.0,180.0,180.0,177.23999,402599
10,2020-02-21,180.0,180.5,177.0,177.0,174.285995,489298
11,2020-02-24,176.0,176.0,168.5,169.0,166.408661,1847336
12,2020-02-25,166.5,173.0,164.0,171.0,168.377991,1297086
13,2020-02-26,167.0,171.0,166.5,167.0,164.439331,1110264
14,2020-02-27,167.0,169.0,163.5,164.5,161.977661,1564566
