,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-04-08,135.0,138.0,131.5,137.0,134.899338,1759840
1,2020-04-09,138.5,141.5,136.0,139.5,137.360992,1867172
2,2020-04-10,139.0,139.0,135.0,138.5,136.376328,940704
3,2020-04-13,136.0,137.0,132.0,132.5,130.468338,1288207
4,2020-04-14,134.0,143.0,133.0,142.5,140.315002,2499213
5,2020-04-15,144.0,145.5,138.5,139.5,137.360992,1974739
6,2020-04-16,137.0,137.0,131.5,134.5,132.437668,3722134
7,2020-04-17,138.5,144.0,137.0,141.5,139.330338,3420320
8,2020-04-20,145.0,154.0,143.5,148.0,145.730667,4030276
9,2020-04-21,146.0,151.5,141.5,143.5,141.299667,2729734
10,2020-04-22,142.0,149.5,141.0,147.5,145.238327,2199750
11,2020-04-23,148.0,153.0,146.0,150.5,148.192337,1985105
12,2020-04-24,148.0,151.5,147.0,150.5,148.192337,1680288
13,2020-04-27,153.0,160.5,153.0,157.0,154.592667,3340702
14,2020-04-28,163.0,172.0,158.0,165.5,162.962326,4532792
