,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-02-12,181.0,183.0,181.0,181.5,178.716995,458277
1,2020-02-13,182.5,185.5,182.5,184.5,181.67099,519505
2,2020-02-14,184.5,185.0,182.0,182.0,179.209335,717520
3,2020-02-17,184.0,184.0,180.5,181.5,178.716995,298950
4,2020-02-18,180.0,180.0,177.0,179.5,176.747665,808533
5,2020-02-19,179.5,182.0,179.5,180.0,177.23999,414400
6,2020-02-20,183.0,183.0,180.0,180.0,177.23999,402599
7,2020-02-21,180.0,180.5,177.0,177.0,174.285995,489298
8,2020-02-24,176.0,176.0,168.5,169.0,166.408661,1847336
9,2020-02-25,166.5,173.0,164.0,171.0,168.377991,1297086
10,2020-02-26,167.0,171.0,166.5,167.0,164.439331,1110264
11,2020-02-27,167.0,169.0,163.5,164.5,161.977661,1564566
12,2020-03-02,155.0,163.0,155.0,160.0,157.546661,1551250
13,2020-03-03,161.5,169.5,161.5,166.5,163.946991,987829
